2026-05-11 10:28:41 | INFO     | nifty_bot.main            | Dashboard → http://127.0.0.1:8050
2026-05-11 10:28:41 | INFO     | nifty_bot.dashboard_v2    | Dashboard v2 → http://0.0.0.0:8050
2026-05-11 10:28:41 | WARNING  | nifty_bot.breeze          | Spot fetch failed, using cache: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:28:41 | INFO     | nifty_bot.strategy        | Entering atm_straddle | ATM=23850 | Expiry=2026-05-14
2026-05-11 10:28:44 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23850put: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:28:46 | INFO     | nifty_bot.breeze          | Options chain fetched: 0 contracts
2026-05-11 10:28:46 | INFO     | nifty_bot.breeze_feed     | BreezeFeed: chain built — 0 contracts, ATM=23850
2026-05-11 10:28:46 | INFO     | nifty_bot.strategy        | ATMStraddle legs: []
2026-05-11 10:28:46 | ERROR    | nifty_bot.strategy        | No legs returned by strategy — aborting entry
2026-05-11 10:28:52 | INFO     | nifty_bot.strategy        | Entering atm_straddle | ATM=23850 | Expiry=2026-05-14
2026-05-11 10:28:53 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23750put: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:28:54 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23800put: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:28:55 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23850put: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:28:58 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23950put: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:28:58 | INFO     | nifty_bot.breeze          | Options chain fetched: 0 contracts
2026-05-11 10:28:58 | INFO     | nifty_bot.breeze_feed     | BreezeFeed: chain built — 0 contracts, ATM=23850
2026-05-11 10:28:58 | INFO     | nifty_bot.strategy        | ATMStraddle legs: []
2026-05-11 10:28:58 | ERROR    | nifty_bot.strategy        | No legs returned by strategy — aborting entry
2026-05-11 10:29:03 | INFO     | nifty_bot.strategy        | Entering atm_straddle | ATM=23850 | Expiry=2026-05-14
2026-05-11 10:29:04 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23750call: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:29:05 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23800call: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
